gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000170837.3	86.3959157044475	-11.982346812883	3.15538952904043	2.1446409873048201e-19	2.32380445909732e-18	GPR27	17.633800419271335	Down	True
ENSG00000168917.9	352.082598940493	-11.630105342829	1.31459150445901	1.53937771825315e-23	2.00348466242105e-22	SLC35G2	21.698213977938742	Down	True
ENSG00000183688.4	24.0113402306041	-9.79777836026983	2.91743962239142	4.4373988930391e-13	3.28266339608505e-12	RFLNB	11.483773647492256	Down	True
ENSG00000187824.9	9.92448479102917	-8.26309640841603	2.78019367188095	3.95457093083434e-09	2.13128287636874e-08	TMEM220	7.671358904348281	Down	True
ENSG00000168386.19	6.14429054867345	-7.29715994274702	2.71872850186043	4.36725616167691e-07	1.90593302628448e-06	FILIP1L	5.719892364361972	Down	True
ENSG00000174004.6	3.72602399399362	-6.17670775064973	2.71240186048683	3.65069414251553e-05	0.0001273006520354	NRROS	3.8951693718793297	Down	True
ENSG00000183770.7	3.65818165625336	-6.17137179987124	2.76117769009671	5.45007982392181e-05	0.0001855167309368	FOXL2	3.7316169171763303	Down	True
ENSG00000078081.8	26.5288311769121	-5.98179354470219	0.794841639109	2.94159558720266e-14	2.35566210793229e-13	LAMP3	12.627887003861328	Down	True
ENSG00000163864.18	19.7833396145404	-4.90785306606659	0.737931670763351	5.21170827804716e-12	3.5845883313970004e-11	NMNAT3	10.445560713264934	Down	True
ENSG00000129194.8	726.552648416221	-4.34696263963809	0.120140577667902	8.78856430543507e-288	4.0734098763415496e-285	SOX15	284.3900418879554	Down	True
ENSG00000142494.13	5.52945619825156	-4.28954910706517	1.42325560765797	0.0001618542239309	0.0005174368355428	SLC47A1	3.2861426577541013	Down	True
ENSG00000175040.6	120.34898211117	-4.07152146067953	0.240754056737454	3.9735310574194805e-65	1.7123883082552901e-63	CHST2	62.76639774607806	Down	True
ENSG00000144834.14	17.4709862557669	-3.21577394209332	0.666419851728572	2.27299901105498e-07	1.0250611703747e-06	TAGLN3	5.989250217375532	Down	True
ENSG00000007174.18	5.22687887164987	-2.7484488383636	1.13708969201359	0.0010430454430988	0.0029592261159546	DNAH9	2.528821848911869	Down	True
ENSG00000179348.13	17.839511073034	-2.61233791602782	0.490190800298975	1.03235118447065e-08	5.33099766951178e-08	GATA2	7.273191507330297	Down	True
ENSG00000180638.19	27.5262182183311	-2.42388377922616	0.37830605592528	1.61717785019591e-11	1.0673561800581001e-10	SLC47A2	9.971690630977447	Down	True
ENSG00000206262.9	5.41865096985699	-2.41781538804033	1.09291115732309	0.0018366617140603	0.0049949017109356	FOXL2NB	2.3014730533475656	Down	True
ENSG00000184500.16	610.559666689385	-2.38639918800167	0.106033270310268	4.06722256806084e-113	4.1236915956799e-111	PROS1	110.38471382236592	Down	True
ENSG00000144821.11	146.203859714674	-2.10413679047545	0.18037448458159	2.26872066723009e-32	4.20611551620103e-31	MYH15	30.376118804079614	Down	True
ENSG00000181804.15	84.5459401153691	-2.04809633554811	0.210632606700534	2.90018165966794e-23	3.73601960707423e-22	SLC9A9	21.427590853206986	Down	True
