gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000170837.3	86.3959157044475	-11.982346812883	3.15538952904043	2.1446409873048201e-19	2.32380445909732e-18	GPR27	17.633800419271335	Down	True
ENSG00000182742.6	65.6696261276012	-11.5176178586076	3.10332231689704	5.0648135260505195e-18	5.06503654734185e-17	HOXB4	16.295417416591633	Down	True
ENSG00000167555.14	53.4357367310309	-11.1809802875795	3.06688825213462	7.866283389326211e-17	7.345853702918901e-16	ZNF528	15.133957725139611	Down	True
ENSG00000182013.18	209.390181888045	-10.8574901994417	1.30971116849888	8.862084053009801e-21	1.0273955636952801e-19	PNMA8A	18.988262313895717	Down	True
ENSG00000197863.9	43.5579370723717	-10.8440772536102	3.02763091223649	4.89682488029757e-16	4.35612181184638e-15	ZNF790	14.360899984409135	Down	True
ENSG00000196437.12	42.256362370539	-10.7934017750353	3.02292444807919	7.40251579385026e-16	6.5111749106945506e-15	ZNF569	14.186340637976839	Down	True
ENSG00000221923.9	28.8608783070256	-10.1427345298124	2.95815992894794	7.378699060840671e-14	5.76660820270999e-13	ZNF880	12.239079554602858	Down	True
ENSG00000182986.15	121.468842832439	-10.0364064594389	1.30496642620001	4.83756117864217e-18	4.8505894891012e-17	ZNF320	16.31420547865409	Down	True
ENSG00000183688.4	24.0113402306041	-9.79777836026983	2.91743962239142	4.4373988930391e-13	3.28266339608505e-12	RFLNB	11.483773647492256	Down	True
ENSG00000108342.13	3015.56166760269	-8.78916869007638	0.179961081121033	0.0	1e-300	CSF3	300.0	Down	True
ENSG00000196653.12	13.5006897553721	-8.7798690518463	2.82266441636436	2.24302911857703e-10	1.34623240782249e-09	ZNF502	8.870879958892132	Down	True
ENSG00000251247.13	11.4559508954291	-8.52062026331497	2.80671956206308	1.22418526528691e-09	6.90230177754e-09	ZNF345	8.161006056714298	Down	True
ENSG00000198346.11	40.1257839781563	-8.36271719644815	1.3061391224287	6.506251762794999e-13	4.75735620685246e-12	ZNF813	11.322634329580989	Down	True
ENSG00000187824.9	9.92448479102917	-8.26309640841603	2.78019367188095	3.95457093083434e-09	2.13128287636874e-08	TMEM220	7.671358904348281	Down	True
ENSG00000267041.6	9.68904136892425	-8.19732633869251	2.79329220505027	1.01274089250828e-08	5.233301117123e-08	ZNF850	7.281224275819748	Down	True
ENSG00000181045.15	71.1976222480724	-8.19226066410893	0.979341104840191	5.97907341488806e-16	5.298116906965381e-15	SLC26A11	14.27587846289613	Down	True
ENSG00000175928.6	9.48314437255746	-7.73728376883358	2.70687546132002	2.01082857278346e-08	1.00767713407955e-07	LRRN1	6.996678596212658	Down	True
ENSG00000171827.11	7.61983680269538	-7.69867666051435	2.76647517117257	1.25551842856974e-07	5.83587372723032e-07	ZNF570	6.233894113653221	Down	True
ENSG00000083814.13	6.2172283674491	-7.27661430571321	2.71377540092595	4.30686612195828e-07	1.88174752781444e-06	ZNF671	5.725438645856864	Down	True
ENSG00000181007.9	5.75563526158382	-7.18100429276459	2.74153637125286	1.1871778358421e-06	4.94897133439975e-06	ZFP82	5.305485061716842	Down	True
