gene_name	region_type	mean_WT	std_WT	n_models
OR4F5	control	4.777878785461942	0.8425197518066345	10
OR4F16	control	4.777878785461942	0.8425197518066345	10
NOC2L	control	4.777878785461942	0.8425197518066345	10
KLHL17	control	4.777878785461942	0.8425197518066345	10
PERM1	control	4.777878785461942	0.8425197518066345	10
HES4	control	4.777878785461942	0.8425197518066345	10
ISG15	control	4.777878785461942	0.8425197518066345	10
AGRN	control	4.777878785461942	0.8425197518066345	10
TNFRSF18	control	4.777878785461942	0.8425197518066345	10
SDF4	control	4.777878785461942	0.8425197518066345	10
B3GALT6	control	4.777878785461942	0.8425197518066345	10
UBE2J2	control	4.777878785461942	0.8425197518066345	10
SCNN1D	control	4.777878785461942	0.8425197518066345	10
ACAP3	control	4.777878785461942	0.8425197518066345	10
PUSL1	control	4.777878785461942	0.8425197518066345	10
TAS1R3	control	4.777878785461942	0.8425197518066345	10
MXRA8	control	4.777878785461942	0.8425197518066345	10
AURKAIP1	control	4.777878785461942	0.8425197518066345	10
MRPL20	control	4.777878785461942	0.8425197518066345	10
TMEM88B	control	4.777878785461942	0.8425197518066345	10
ATAD3C	control	4.777878785461942	0.8425197518066345	10
ATAD3B	control	4.777878785461942	0.8425197518066345	10
TMEM240	control	4.777878785461942	0.8425197518066345	10
MMP23B	control	4.777878785461942	0.8425197518066345	10
CDK11A	control	4.777878785461942	0.8425197518066345	10
NADK	control	4.777878785461942	0.8425197518066345	10
CALML6	control	4.777878785461942	0.8425197518066345	10
GABRD	control	4.777878785461942	0.8425197518066345	10
PRKCZ	control	4.777878785461942	0.8425197518066345	10
PEX10	control	4.700880554558659	0.7375388763685602	10
HES5	control	4.700880554558659	0.7375388763685602	10
ACTRT2	control	4.700880554558659	0.7375388763685602	10
PRDM16	control	4.700880554558659	0.7375388763685602	10
MEGF6	control	4.57121146681269	0.593024481928045	10
WRAP73	control	4.57121146681269	0.593024481928045	10
TP73	control	4.57121146681269	0.593024481928045	10
CCDC27	control	4.57121146681269	0.593024481928045	10
SMIM1	control	4.57121146681269	0.593024481928045	10
LRRC47	control	4.57121146681269	0.593024481928045	10
CEP104	control	4.57121146681269	0.593024481928045	10
NPHP4	control	4.604214688726886	0.6377490570144267	10
KCNAB2	control	4.604214688726886	0.6377490570144267	10
CHD5	control	4.604214688726886	0.6377490570144267	10
RNF207	control	4.604214688726886	0.6377490570144267	10
ICMT	control	4.604214688726886	0.6377490570144267	10
HES2	control	4.604214688726886	0.6377490570144267	10
ESPN	control	4.604214688726886	0.6377490570144267	10
TNFRSF25	control	4.604214688726886	0.6377490570144267	10
NOL9	control	4.604214688726886	0.6377490570144267	10
TAS1R1	control	4.604214688726886	0.6377490570144267	10
ZBTB48	control	4.604214688726886	0.6377490570144267	10
KLHL21	control	4.604214688726886	0.6377490570144267	10
THAP3	control	4.557356003235036	0.5637029124468689	10
CAMTA1	control	4.598615154674128	0.726550679790235	10
VAMP3	control	4.491392715227411	0.7386679314915822	10
PER3	control	4.491392715227411	0.7386679314915822	10
UTS2	control	4.491392715227411	0.7386679314915822	10
PARK7	control	4.491392715227411	0.7386679314915822	10
ERRFI1	control	4.491392715227411	0.7386679314915822	10
SLC45A1	control	4.416718864239187	0.6722538387754308	10
RERE	control	4.416718864239187	0.6722538387754308	10
CA6	control	4.418369418552518	0.6445784581002351	10
