gene_name	region_type	mean_WT	std_WT	n_models
OR4F5	control	4.777878785461942	0.8425197518066345	10
OR4F29	control	4.777878785461942	0.8425197518066345	10
KLHL17	control	4.777878785461942	0.8425197518066345	10
PERM1	control	4.777878785461942	0.8425197518066345	10
ISG15	control	4.777878785461942	0.8425197518066345	10
B3GALT6	control	4.777878785461942	0.8425197518066345	10
C1QTNF12	control	4.777878785461942	0.8425197518066345	10
UBE2J2	control	4.777878785461942	0.8425197518066345	10
SCNN1D	control	4.777878785461942	0.8425197518066345	10
PUSL1	control	4.777878785461942	0.8425197518066345	10
CCNL2	control	4.777878785461942	0.8425197518066345	10
MRPL20	control	4.777878785461942	0.8425197518066345	10
ANKRD65	control	4.777878785461942	0.8425197518066345	10
VWA1	control	4.777878785461942	0.8425197518066345	10
ATAD3A	control	4.777878785461942	0.8425197518066345	10
SSU72	control	4.777878785461942	0.8425197518066345	10
FNDC10	control	4.777878785461942	0.8425197518066345	10
MIB2	control	4.777878785461942	0.8425197518066345	10
MMP23B	control	4.777878785461942	0.8425197518066345	10
CDK11B	control	4.777878785461942	0.8425197518066345	10
SLC35E2B	control	4.777878785461942	0.8425197518066345	10
CDK11A	control	4.777878785461942	0.8425197518066345	10
CALML6	control	4.777878785461942	0.8425197518066345	10
TMEM52	control	4.777878785461942	0.8425197518066345	10
CFAP74	control	4.777878785461942	0.8425197518066345	10
GABRD	control	4.777878785461942	0.8425197518066345	10
PRKCZ	control	4.777878785461942	0.8425197518066345	10
FAAP20	control	4.700880554558659	0.7375388763685602	10
MORN1	control	4.700880554558659	0.7375388763685602	10
RER1	control	4.700880554558659	0.7375388763685602	10
HES5	control	4.700880554558659	0.7375388763685602	10
TNFRSF14	control	4.700880554558659	0.7375388763685602	10
PRXL2B	control	4.700880554558659	0.7375388763685602	10
MMEL1	control	4.700880554558659	0.7375388763685602	10
WRAP73	control	4.57121146681269	0.593024481928045	10
SMIM1	control	4.57121146681269	0.593024481928045	10
LRRC47	control	4.57121146681269	0.593024481928045	10
CEP104	control	4.57121146681269	0.593024481928045	10
DFFB	control	4.57121146681269	0.593024481928045	10
C1orf174	control	4.57121146681269	0.593024481928045	10
KCNAB2	control	4.604214688726886	0.6377490570144267	10
ENSG00000285629	control	4.604214688726886	0.6377490570144267	10
RPL22	control	4.604214688726886	0.6377490570144267	10
RNF207	control	4.604214688726886	0.6377490570144267	10
GPR153	control	4.604214688726886	0.6377490570144267	10
ACOT7	control	4.604214688726886	0.6377490570144267	10
HES2	control	4.604214688726886	0.6377490570144267	10
TNFRSF25	control	4.604214688726886	0.6377490570144267	10
PLEKHG5	control	4.604214688726886	0.6377490570144267	10
KLHL21	control	4.604214688726886	0.6377490570144267	10
PHF13	control	4.557356003235036	0.5637029124468689	10
THAP3	control	4.557356003235036	0.5637029124468689	10
VAMP3	control	4.491392715227411	0.7386679314915822	10
PER3	control	4.491392715227411	0.7386679314915822	10
TNFRSF9	control	4.491392715227411	0.7386679314915822	10
PARK7	control	4.491392715227411	0.7386679314915822	10
GPR157	control	4.418369418552518	0.6445784581002351	10
H6PD	control	4.418369418552518	0.6445784581002351	10
SLC25A33	control	4.418369418552518	0.6445784581002351	10
TMEM201	control	4.418369418552518	0.6445784581002351	10
