gene_name	chrom	region_type	transloc_id	mean_distance	std_distance	n_models
A1CF	chr10	inside_transloc	T1	4.158809761406705	1.335056969947632	10
A2M	chr12	control	T4	3.961939353298214	1.120274554365883	10
A4GNT	chr3	inside_transloc	T3	5.5799315783547785	0.9096182188249531	10
AADAC	chr3	inside_transloc	T3	5.7953596757695065	0.7137501607199361	10
AADACL2	chr3	inside_transloc	T3	5.7953596757695065	0.7137501607199361	10
AAK1	chr2	inside_transloc	T1	4.253554792817782	0.7299286391293324	10
AANAT	chr17	inside_transloc	T2	2.6518342287140335	0.8460421956180403	10
AARD	chr8	control	T1	3.978423945570681	0.8471858774291994	10
AARS2	chr6	inside_transloc	T4	4.123260020164914	1.130011841179657	10
AARSD1	chr17	inside_transloc	T2	2.643443814138288	1.2889417503972789	10
AATF	chr17	inside_transloc	T2	2.8746332787865376	1.5490588749979621	10
AATK	chr17	inside_transloc	T2	2.704557483755769	0.8581475841249291	10
ABAT	chr16	control	T1	2.837531181295689	1.2954537735316347	10
ABAT	chr16	control	T4	2.837531181295689	1.2954537735316347	10
ABCA1	chr9	control	T1	5.254978745673413	1.1167445900591721	10
ABCA10	chr17	inside_transloc	T2	2.605834792216577	0.8430027722482376	10
ABCA5	chr17	inside_transloc	T2	2.605834792216577	0.8430027722482376	10
ABCA6	chr17	inside_transloc	T2	2.605834792216577	0.8430027722482376	10
ABCA7	chr19	inside_transloc	T4	3.1012093790108484	0.8421448666733891	10
ABCA8	chr17	inside_transloc	T2	2.605834792216577	0.8430027722482376	10
ABCA9	chr17	inside_transloc	T2	2.605834792216577	0.8430027722482376	10
ABCB4	chr7	control	T1	5.138656595863617	0.8445357735345472	10
ABCB4	chr7	control	T2	5.138656595863617	0.8445357735345472	10
ABCB7	chrX	control	T1	4.069411817852343	1.1001409162614337	10
ABCB9	chr12	control	T3	3.8515085839331746	0.7600191038006321	10
ABCC10	chr6	inside_transloc	T4	4.12571897042852	1.0472129245661406	10
ABCC2	chr10	inside_transloc	T1	3.4436239561120368	1.3666886059270402	10
ABCC3	chr17	inside_transloc	T2	2.68965200784674	0.8059909246955738	10
ABCC5	chr3	inside_transloc	T3	5.588122655265411	0.6599836397015654	10
ABCD4	chr14	control	T2	3.2540317926156255	1.1918889127813215	10
ABCE1	chr4	control	T4	4.45961220813373	1.083747190209286	10
ABCF1	chr6	inside_transloc	T4	4.46961327732302	0.8036728746980399	10
