gene_name	chrom	region_type	transloc_id	mean_distance	std_distance	n_models
A1BG	chr19	inside_transloc	T3	3.61602286596969	0.8309191922040222	10
A1CF	chr10	inside_transloc	T4	4.590946950024185	0.9438952482338241	10
A2M	chr12	control	T3	3.3026860587824407	1.0045080952171555	10
A4GALT	chr22	control	T3	3.337861414798404	1.41831784276296	10
AACS	chr12	control	T1	4.321470011353367	0.3602809290327513	10
AAMP	chr2	control	T3	4.827418017125618	1.0918852592900252	10
AANAT	chr17	inside_transloc	T1	2.3768522605002067	1.0876076347065533	10
AARS1	chr16	control	T1	3.3977492212096925	1.87215302968951	10
AARS2	chr6	inside_transloc	T3	4.344207407842108	0.8324842047401713	10
AARSD1	chr17	inside_transloc	T1	3.7729867699378565	1.0523275499761422	10
AASDH	chr4	control	T1	4.367387053882672	0.6146703011855968	10
AASDH	chr4	control	T3	4.367387053882672	0.6146703011855968	10
AASDHPPT	chr11	control	T3	3.9985571283749857	1.1661420795996933	10
AASS	chr7	control	T4	3.816107583449957	1.377305098115057	10
AATF	chr17	inside_transloc	T1	3.944244946713239	1.0231512483352465	10
AATK	chr17	inside_transloc	T1	2.7475377149517506	1.4497253277856663	10
ABCA1	chr9	control	T1	4.48259417902092	0.4755474012794455	10
ABCA10	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA13	chr7	control	T4	4.163774980287887	1.2346871289725287	10
ABCA4	chr1	control	T1	3.527971306464283	0.6737771984883912	10
ABCA5	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA6	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA8	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA9	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCB8	chr7	control	T1	4.319600790541964	1.0375435490666012	10
ABCB8	chr7	control	T2	4.319600790541964	1.0375435490666012	10
ABCC10	chr6	inside_transloc	T3	4.295658196791764	0.9721361364930066	10
ABCC12	chr16	control	T3	2.7879591876287906	1.5055733107716947	10
ABCC2	chr10	inside_transloc	T4	3.9549221561378287	1.6237247730740392	10
ABCC3	chr17	inside_transloc	T1	3.238070512905118	1.1946658203520388	10
