chrom	start	end	gene_id	gene_name	gene_type	region_type	translocation_label	transloc_id	source	feature	score	strand	frame	MCF10AC1_REP1	MCF10AC1_REP2	MCF10AC1_REP3	MCF10AT1_REP1	MCF10AT1_REP2	MCF10AT1_REP3	MCF10AWT_REP1	MCF10AWT_REP2	MCF10AWT_REP3
chr3	196762	409417	ENSG00000134121	CHL1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.182666	0.082574	0.019364	0.0	0.0	0.0	0.0
chr3	1092657	1404217	ENSG00000134115	CNTN6	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	2098812	3057959	ENSG00000144619	CNTN4	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.01884	0.0	0.0	0.0	0.0	0.0	0.0
chr3	3066323	3126613	ENSG00000091181	IL5RA	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.008326	0.03621	0.0	0.0	0.0	0.0	0.0	0.0
chr3	3126932	3153435	ENSG00000072756	TRNT1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	29.92315	30.838627	28.437356	34.035685	36.242433	34.503017	29.27172	31.016463	31.823673
chr3	3144627	3179727	ENSG00000113851	CRBN	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	17.962282	20.09397	17.484177	31.598884	32.216418	32.661043	25.590096	28.619814	32.722714
chr3	3700813	4467273	ENSG00000144455	SUMF1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	14.334096	15.267096	14.131367	12.313124	12.619503	10.445127	21.944297	20.717284	17.830749
chr3	3799430	3849834	ENSG00000175928	LRRN1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.056688	0.030139	0.037612	0.0	0.0	0.0	0.133536	0.129854	0.192659
chr3	4303331	4317265	ENSG00000170364	SETMAR	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	3.277047	2.624385	3.515171	8.408344	8.33413	7.953855	11.491007	11.786475	12.364569
chr3	4493344	4847506	ENSG00000150995	ITPR1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	2.580048	2.284297	2.60315	0.486186	0.556371	0.408088	1.894816	1.358154	1.244257
chr3	4979436	4985323	ENSG00000134107	BHLHE40	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	155.408342	153.802175	156.712363	57.991153	53.278039	55.64188	34.947045	27.655473	25.696211
chr3	5122248	5180911	ENSG00000134108	ARL8B	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	78.641006	75.01227	76.196606	74.666129	73.428979	65.313829	73.840209	65.696306	63.701074
chr3	5187645	5219958	ENSG00000134109	EDEM1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	41.040465	42.029781	40.489125	17.705328	17.612541	17.067404	42.093379	36.249727	31.259083
chr3	6770000	7741533	ENSG00000196277	GRM7	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.010628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	8501806	8574668	ENSG00000071282	LMCD1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	2.846404	2.99079	2.460183	2.430212	2.712041	2.927448	1.542569	1.164012	1.123017
chr3	8619385	8745040	ENSG00000125046	SSUH2	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.114321	0.17812	0.091268	0.260017	0.14681	0.202807	0.074085	0.074062	0.109568
chr3	8733801	8841808	ENSG00000182533	CAV3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	8750380	8769628	ENSG00000180914	OXTR	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.395803	0.413823	0.345409	0.713566	0.584086	0.593987	0.283635	0.330788	0.220139
chr3	8775401	8963773	ENSG00000070950	RAD18	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	34.837558	28.947547	32.631052	34.612908	28.131658	28.94447	34.236597	33.329508	27.398039
chr3	8980590	9363053	ENSG00000196220	SRGAP3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	7.911965	7.042187	6.938915	4.020071	3.448336	4.256961	5.494049	4.725779	4.74588
chr3	9362970	9386791	ENSG00000134077	THUMPD3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	56.890187	61.053022	53.590129	60.074626	57.175605	54.502382	49.328369	48.823657	50.497482
chr3	9397614	9479240	ENSG00000168137	SETD5	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	30.106343	26.676829	26.922986	21.546935	21.052582	22.036279	23.62549	24.345478	23.526496
chr3	9498360	9553822	ENSG00000156959	LHFPL4	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	9649432	9702393	ENSG00000163719	MTMR14	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	17.018631	17.372714	18.874854	11.972832	13.865191	11.998829	15.636268	13.419121	12.434468
chr3	9703825	9729908	ENSG00000144550	CPNE9	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.019122	0.071231	0.00948	0.009431	0.008428	0.009762	0.0	0.007787
chr3	9731728	9748019	ENSG00000156983	BRPF1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	5.54344	5.452758	5.650569	4.381282	4.167996	4.551258	7.294472	6.165935	5.886035
chr3	9749943	9788219	ENSG00000114026	OGG1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	12.025195	13.206277	13.987701	8.704572	7.819453	7.052452	13.34285	10.768248	9.479053
chr3	9757346	9769992	ENSG00000134072	CAMK1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.0	0.0	2.070944	2.289992	1.752047	3.895583	3.506905	2.767578
chr3	9779966	9793011	ENSG00000171148	TADA3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	29.814739	30.293204	30.306019	26.545234	26.19285	25.198468	29.620272	23.72039	22.767698
chr3	9792494	9807101	ENSG00000241553	ARPC4	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	71.804166	70.485509	73.341602	116.015789	114.234927	105.66793	157.692619	144.918976	138.428924
chr3	9793081	9835401	ENSG00000250151	ARPC4-TTLL3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	4.913523	6.696135	4.717955	3.521662	3.234369	3.447193	4.353076	3.257934	4.009606
chr3	9808085	9855138	ENSG00000214021	TTLL3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	7.514977	7.174687	6.132948	1.414362	1.501548	1.668374	1.414435	2.144538	2.175517
chr3	9837848	9844602	ENSG00000156990	RPUSD3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	34.397434	31.433454	30.522549	28.857005	28.261547	27.014089	33.717389	32.65374	28.626888
chr3	9866710	9880255	ENSG00000187288	CIDEC	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.441528	0.511327	0.496878	0.115175	0.043486	0.072899	0.08388	0.038486	0.014183
chr3	9890573	9894349	ENSG00000171135	JAGN1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	20.183613	18.339071	22.032325	50.894734	52.038467	49.87994	57.888902	58.607897	57.883548
chr3	9902611	9916402	ENSG00000163701	IL17RE	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	5.96154	6.60773	5.839347	5.65486	5.490711	6.140581	4.149457	3.926825	3.781345
chr3	9917073	9933630	ENSG00000163702	IL17RC	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	3.871291	3.445856	3.360597	4.429032	3.858222	4.711682	9.493936	6.301233	5.380953
chr3	9917115	9945385	ENSG00000288550	ENSG00000288550	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.131039	0.382384	0.08686	0.024249	0.111644	0.036188	0.0	0.096157
chr3	9933792	9945413	ENSG00000163703	CRELD1	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	+	.	24.472909	25.918715	23.266801	4.591265	4.16687	5.094037	7.323269	6.306244	5.832343
chr3	9939449	9952408	ENSG00000163704	PRRT3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	0.363214	0.238978	0.370654	0.491115	0.628567	0.678492	0.474227	0.355706	0.384967
chr3	9962681	10011202	ENSG00000125037	EMC3	protein_coding	inside_transloc	T1_transloc_1	T1	HAVANA	gene	.	-	.	54.240194	55.857271	57.001375	53.463219	52.102845	50.73944	51.451963	53.485413	56.483252
