chrom	start	end	gene_id	gene_name	gene_type	region_type	translocation_label	transloc_id	source	feature	score	strand	frame	MCF10AC1_REP1	MCF10AC1_REP2	MCF10AC1_REP3	MCF10AT1_REP1	MCF10AT1_REP2	MCF10AT1_REP3	MCF10AWT_REP1	MCF10AWT_REP2	MCF10AWT_REP3
chr2	38813	46870	ENSG00000184731	FAM110C	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	19.532353	20.077654	19.383701	8.728042	8.182832	9.583126	7.983544	7.644745	7.311544
chr2	217729	266398	ENSG00000035115	SH3YL1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	107.585412	100.898144	97.548752	45.307019	46.863097	45.337088	45.546272	45.665861	45.755103
chr2	264139	278283	ENSG00000143727	ACP1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	284.803127	289.89535	277.68424	173.91945	173.495174	172.421229	148.192238	147.596229	146.527811
chr2	279557	288851	ENSG00000189292	ALKAL2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	663876	677406	ENSG00000151353	TMEM18	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	41.365889	45.458753	40.530677	29.246857	29.386339	30.601601	30.652183	32.406527	31.553948
chr2	950848	1367613	ENSG00000172554	SNTG2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	1374065	1543711	ENSG00000115705	TPO	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.122016	0.06733	0.10407	0.0	0.025719	0.017144	0.045984	0.0	0.019494
chr2	1631886	1744852	ENSG00000130508	PXDN	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	107.020981	106.613815	106.442553	31.480531	31.036446	33.006176	36.01487	26.760322	21.943152
chr2	1789112	2331664	ENSG00000186487	MYT1L	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	3188924	3377830	ENSG00000032389	EIPR1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	28.809359	29.51607	29.948496	19.277499	18.509861	15.656884	26.385191	23.198361	21.876684
chr2	3379674	3485094	ENSG00000171853	TRAPPC12	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	41.911154	45.00432	42.01494	17.041956	16.324343	16.009673	25.187621	21.602019	20.467289
chr2	3497365	3519531	ENSG00000182551	ADI1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	31.062815	30.674663	29.635459	74.233321	75.828113	70.656934	109.913261	111.360829	111.811517
chr2	3532007	3558333	ENSG00000286905	ENSG00000286905	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	0.212649	0.200908	0.44465	0.534546	0.507354	0.538524	0.413092	0.363954	0.437939
chr2	3541429	3558333	ENSG00000171865	RNASEH1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	24.85522	24.876248	24.79035	23.169405	23.253256	22.247706	29.358975	25.717022	23.605234
chr2	3575259	3580920	ENSG00000171863	RPS7	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	3594.593186	3677.575341	3653.305807	2660.859226	2789.111639	2939.434709	2092.602772	2483.636449	2707.086731
chr2	3594831	3644644	ENSG00000118004	COLEC11	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.022825	0.0	0.0	0.021459	0.0	0.0	0.0	0.0	0.031523
chr2	3658199	3702671	ENSG00000151360	ALLC	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	3703574	3848008	ENSG00000214866	DCDC2C	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.057659	0.186667	0.13801	0.0	0.047988	0.0	0.065855	0.197601	0.180899
chr2	5692383	5701385	ENSG00000176887	SOX11	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr2	6840569	6866635	ENSG00000134326	CMPK2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.0	0.0	0.0	0.0	0.0	0.385122	0.507379	0.406895
chr2	6865556	6898239	ENSG00000134321	RSAD2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.115079	0.121222	0.11381	0.008682	0.05288	0.007638	0.078407	0.021567	0.043633
chr2	6917411	7068286	ENSG00000151692	RNF144A	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.0	0.008518	0.057538	0.030681	0.056045	0.004636	0.008532	0.011272
chr2	8678844	8684461	ENSG00000115738	ID2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	11.88091	11.62482	11.559872	0.895942	0.904712	0.791233	5.507576	3.852766	4.213403
chr2	8721080	8837630	ENSG00000134313	KIDINS220	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	9.697199	8.170642	8.658123	6.56014	5.902562	5.868742	14.010146	10.886444	9.340529
chr2	8852689	9003709	ENSG00000143797	MBOAT2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	81.510937	81.719751	82.014801	58.033016	59.822722	54.174484	49.336521	41.884266	42.479958
chr2	9206764	9405683	ENSG00000151693	ASAP2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	69.281853	68.898056	67.321423	29.001164	28.532941	29.942169	40.610364	32.770507	30.448837
chr2	9403474	9423528	ENSG00000119185	ITGB1BP1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	289.155695	286.927483	292.572298	168.30547	173.62011	172.755814	187.36469	200.672849	210.394489
chr2	9423650	9473101	ENSG00000119203	CPSF3	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	62.333862	64.298149	62.59963	56.199121	54.101813	52.178069	57.703097	55.054912	52.301564
chr2	9473657	9496543	ENSG00000134330	IAH1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	59.07209	56.806974	61.182209	69.649948	72.032664	67.874174	71.600696	83.264158	89.562567
chr2	9488485	9556732	ENSG00000151694	ADAM17	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	48.79525	48.726046	49.338542	20.422585	18.981792	17.81611	25.488089	23.573211	21.422006
chr2	9583966	9630997	ENSG00000134308	YWHAQ	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	460.324022	463.45887	462.653795	530.090558	539.270448	507.184616	545.410471	529.883443	533.088867
chr2	9843442	9934416	ENSG00000115750	TAF1B	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	30.587826	31.572919	35.31343	24.35845	23.991432	22.37673	31.982896	30.595435	30.760591
chr2	9951692	10002277	ENSG00000134317	GRHL1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	11.866656	11.61881	10.531012	1.365256	1.366535	1.204319	1.21447	0.93809	1.00948
chr2	10042848	10054836	ENSG00000172059	KLF11	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	6.489061	6.254292	6.638159	6.092964	6.209352	6.063775	4.54347	3.95026	3.458709
chr2	10056472	10080944	ENSG00000205795	CYS1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	0.0	0.017015	0.031388	0.049337	0.034849	0.036681	0.060207	0.047744	0.027712
chr2	10120697	10211725	ENSG00000171848	RRM2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	162.36385	172.166233	165.966387	211.16422	210.94945	185.003288	298.73961	270.955139	254.861315
chr2	10302888	10427617	ENSG00000115756	HPCAL1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	142.760632	146.467417	146.236652	87.389291	83.95603	82.450956	88.511266	74.996383	65.136386
chr2	10439967	10448327	ENSG00000115758	ODC1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	158.256454	157.484152	160.777578	186.693648	183.983873	170.311695	186.580576	169.88956	163.589517
chr2	10562346	10689987	ENSG00000115761	NOL10	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	46.399521	46.044207	48.703448	31.120986	30.768558	27.561208	34.603986	32.133606	29.348201
chr2	10721099	10785110	ENSG00000143882	ATP6V1C2	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.097871	0.058917	0.103882	0.0	0.097804	0.011922	0.266977	0.20297	0.242844
chr2	10783390	10837977	ENSG00000143870	PDIA6	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	-	.	352.163391	363.713953	366.807309	220.24296	219.009601	187.88352	287.112321	245.63855	220.285213
chr2	10911933	10914225	ENSG00000162975	KCNF1	protein_coding	inside_transloc	C1_transloc_1	T1	HAVANA	gene	.	+	.	0.0	0.01999	0.0	0.0	0.0	0.0	0.030274	0.0	0.0
