condition,model,label,chrom,seg_start,seg_end,bead_start,bead_end,radial_dist
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,0,900000,4.009678486156215
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,900000,1300000,4.15412995063479
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,1300000,2150000,4.250067050291795
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,2150000,3200000,4.570628875983697
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,3200000,4300000,4.55838509902235
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,4300000,4650000,4.813661419200565
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,4650000,5250000,4.774685657509298
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,5250000,6200000,5.098592016765511
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,6200000,6800000,5.291457971145665
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,6800000,7150000,5.111293466853669
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,7150000,8400000,4.991846339089475
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,8400000,9350000,4.91689093877025
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,9350000,9700000,5.063385332382278
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,9700000,10300000,5.208548098376361
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,10300000,10750000,5.375476193187446
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,10750000,11050000,5.065515022324976
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,11050000,11350000,5.303932986360216
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,11350000,11900000,5.017548060527173
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,11900000,12500000,4.961607105384303
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,12500000,13000000,4.627124407458697
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,13000000,13650000,4.462856384962438
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,13650000,14200000,4.612296876329624
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,14200000,14500000,4.463567391067373
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,14500000,15100000,4.506915432865365
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,15100000,15600000,4.835940067298187
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,15600000,16250000,5.221627419435439
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,16250000,17250000,5.368811692777089
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,17250000,17850000,5.348565091396009
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,17850000,18400000,5.123570881533698
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,18400000,19050000,5.030962267886731
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,19050000,19850000,5.40257227984041
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,19850000,20350000,5.593618657032315
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,20350000,20950000,5.620466315511552
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,20950000,21500000,5.884580232888323
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,21500000,22100000,5.937943000635826
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,22100000,22950000,5.825182121728041
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,22950000,23900000,5.8220177395641795
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,23900000,24700000,6.107282004533604
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,24700000,25600000,6.475656237332244
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,25600000,25950000,6.722746477958245
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,25950000,26750000,6.532149078848399
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,26750000,27300000,6.3588362392815245
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,27300000,27700000,6.05422557433236
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,27700000,28350000,5.952014522781341
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,28350000,28800000,5.7897046342192615
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,28800000,29300000,5.509422177878547
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,29300000,30000000,5.400883094985486
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,30000000,30750000,5.437243504331951
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,30750000,31550000,5.443748423751781
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,31550000,32150000,5.132132009633034
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,32150000,32800000,5.235369828101927
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,32800000,33400000,5.426710879694992
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,33400000,33850000,5.640897752317445
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,33850000,34700000,5.969715263779337
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,34700000,35400000,6.189936110914232
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,35400000,36000000,6.084477669488154
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,36000000,36700000,5.903894956128539
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,36700000,37000000,5.85338197565305
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,37000000,38000000,6.166219009449794
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,38000000,38500000,6.4811351273523075
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,38500000,39050000,6.317158247202614
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,39050000,39400000,6.460351403669927
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,39400000,40200000,6.665848559770916
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,40200000,40600000,6.822017678209285
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,40600000,41250000,6.919542612290209
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,41250000,41850000,7.142099724443786
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,41850000,42200000,7.088652503438154
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,42200000,42900000,7.134851670903887
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,42900000,43500000,6.75439899720175
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,43500000,44250000,6.657690354957941
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,44250000,45700000,6.945628307547129
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,45700000,46450000,6.7241310999563355
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,46450000,46950000,6.942164194665811
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,46950000,47400000,6.896749156559197
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,47400000,47800000,6.565213911899596
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,47800000,48200000,6.634741423816003
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,48200000,48700000,6.28935238189911
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,48700000,49000000,6.25750940519469
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,49000000,49500000,6.418307774842213
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,49500000,50350000,6.270009432042348
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,50350000,50650000,6.0950744294553125
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,50650000,51400000,6.076920793716173
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,51400000,51900000,5.875367882294691
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,51900000,52450000,6.113539262996517
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,52450000,53350000,6.234624902758785
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,53350000,53900000,6.089263626038866
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,53900000,54400000,5.945090966597651
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,54400000,54850000,6.111422134912298
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,54850000,55450000,6.031599169603033
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,55450000,56550000,5.659488338893278
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,56550000,57100000,5.498883135481604
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,57100000,57550000,5.376971043493632
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,57550000,58150000,5.022956508601284
WT,model_0000,Der(17)t(3;17),chr3,0,58600000,58150000,58650000,5.289692608706105
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,21550000,25050000,3.003544182547678
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,25050000,28600000,2.6482060866875523
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,28600000,29150000,2.658856805642041
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,29150000,29600000,3.021913516531537
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,29600000,30100000,2.955001722744845
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,30100000,31900000,2.874010363064128
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,31900000,32450000,3.064829688335063
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,32450000,32950000,2.8212587766456303
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,32950000,33800000,2.581644101730523
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,33800000,34400000,2.7056490631824373
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,34400000,35150000,2.3083037224613663
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,35150000,35600000,2.4312791098925683
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,35600000,39250000,2.4475234367008625
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,39250000,39550000,2.5560432750053352
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,39550000,40000000,2.8452940215380202
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,40000000,41700000,3.1724012290692363
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,41700000,42550000,2.83833873315008
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,42550000,43000000,2.7990836529300087
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,43000000,43350000,2.8639232903658574
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,43350000,43850000,2.9982640440928483
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,43850000,44350000,2.6211285574318937
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,44350000,44750000,2.8702422874212203
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,44750000,47800000,3.0376365770646427
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,47800000,48650000,3.4124724549552043
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,48650000,49300000,3.6442279130844706
WT,model_0000,Der(17)t(3;17),chr17,22700001,83257441,49300000,50350000,3.2747434143462293
