gene_name	chrom	region_type	transloc_id	mean_distance	std_distance	n_models
A2ML1	chr12	control	T1	3.2463075331441367	0.9436120777105559	10
A4GALT	chr22	control	T3	3.337861414798404	1.41831784276296	10
A4GNT	chr3	inside_transloc	T2	5.469428428343608	1.0641713141496876	10
AADAC	chr3	inside_transloc	T2	5.628602887218796	0.9625888065323132	10
AADACL2	chr3	inside_transloc	T2	5.628602887218796	0.9625888065323132	10
AAGAB	chr15	control	T3	4.08342937975951	1.031260780248249	10
AAK1	chr2	control	T3	5.115564783325294	1.3452233210886375	10
AAMP	chr2	control	T2	4.827418017125618	1.0918852592900252	10
AANAT	chr17	inside_transloc	T1	2.3768522605002067	1.0876076347065533	10
AARS1	chr16	control	T3	3.3977492212096925	1.87215302968951	10
AARS2	chr6	inside_transloc	T3	4.344207407842108	0.8324842047401713	10
AARSD1	chr17	inside_transloc	T1	3.7729867699378565	1.0523275499761422	10
AASS	chr7	control	T3	3.816107583449957	1.377305098115057	10
AATF	chr17	inside_transloc	T1	3.944244946713239	1.0231512483352465	10
AATK	chr17	inside_transloc	T1	2.7475377149517506	1.4497253277856663	10
ABAT	chr16	control	T3	3.1203784046494194	1.4336053287586756	10
ABCA10	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA4	chr1	control	T1	3.527971306464283	0.6737771984883912	10
ABCA5	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA6	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA7	chr19	inside_transloc	T3	3.949206681682333	1.0038952239222	10
ABCA8	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCA9	chr17	inside_transloc	T1	3.5189328954442702	0.9597179571348643	10
ABCB5	chr7	control	T1	4.479361774485662	0.8876515972741139	10
ABCB5	chr7	control	T3	4.479361774485662	0.8876515972741139	10
ABCB6	chr2	control	T3	4.7666241016605815	0.9819277295579518	10
ABCC10	chr6	inside_transloc	T3	4.295658196791764	0.9721361364930066	10
ABCC2	chr10	control	T2	3.9549221561378287	1.6237247730740392	10
ABCC2	chr10	control	T3	3.9549221561378287	1.6237247730740392	10
ABCC3	chr17	inside_transloc	T1	3.238070512905118	1.1946658203520388	10
ABCC5	chr3	inside_transloc	T2	5.463618960639468	1.2296262698509026	10
ABCD1	chrX	control	T3	3.272888076750956	0.9791573215972854	10
ABCD2	chr12	control	T2	4.275781364997674	0.5144216130937893	10
ABCF1	chr6	inside_transloc	T3	4.3678004976445735	0.9810089503012919	10
ABCF2	chr7	control	T3	4.319600790541964	1.0375435490666012	10
ABCF3	chr3	inside_transloc	T2	5.463618960639468	1.2296262698509026	10
ABCG8	chr2	control	T1	4.69184569398206	1.1471149605026487	10
ABHD1	chr2	control	T3	4.968639275537257	0.6430014659321516	10
ABHD10	chr3	inside_transloc	T2	5.362200993308933	1.6191128490153304	10
ABHD14A	chr3	inside_transloc	T1	5.122629304637828	1.4495913679666548	10
ABHD14A-ACY1	chr3	inside_transloc	T1	5.122629304637828	1.4495913679666548	10
ABHD14B	chr3	inside_transloc	T1	5.122629304637828	1.4495913679666548	10
ABHD15	chr17	inside_transloc	T1	3.773571558852055	1.5242360438045535	10
ABHD16A	chr6	inside_transloc	T3	4.302720244061129	0.9674909706187931	10
ABHD17A	chr19	inside_transloc	T3	3.9742315690894836	0.910778757793463	10
ABHD17C	chr15	control	T3	2.831566531472856	0.4626232048910663	10
ABHD4	chr14	control	T1	3.0187683179545717	0.8552038752466683	10
ABHD5	chr3	inside_transloc	T1	4.686592266892023	1.469816120993781	10
ABHD6	chr3	inside_transloc	T1	5.666541771597062	1.823163906090888	10
ABHD8	chr19	inside_transloc	T3	2.863310776536904	0.9842088001969634	10
ABI3	chr17	inside_transloc	T1	3.222344474833565	0.9082279448178878	10
ABI3BP	chr3	inside_transloc	T2	6.237669557096291	1.3084603745425178	10
ABL1	chr9	control	T2	4.854036322155216	0.6699194190499203	10
ABLIM3	chr5	control	T3	4.8370887891412755	0.8653430227871041	10
ABR	chr17	inside_transloc	T2	4.353795901871994	1.0347445839098175	10
ABRACL	chr6	inside_transloc	T3	4.354749008767454	0.7892239032008127	10
ABT1	chr6	inside_transloc	T3	4.429384296147571	0.9313230588092203	10
ABTB1	chr3	inside_transloc	T2	5.502657190028572	1.2438601309071382	10
ACAA1	chr3	inside_transloc	T1	4.900608655350263	1.5839976362703097	10
ACAA2	chr18	control	T3	3.7130002825191255	1.1524533553433332	10
ACACA	chr17	inside_transloc	T1	3.944244946713239	1.0231512483352465	10
ACAD11	chr3	inside_transloc	T2	5.076229019054119	0.9529176420344003	10
ACAD9	chr3	inside_transloc	T2	5.407101929912352	1.148859595180475	10
ACADM	chr1	control	T1	3.9565178501142264	0.8913398305930625	10
